ISSUE DATE,ISSUE TIME,FINE AMOUNT,TICKET LOCATION STREET,VIOLATION DESCRIPTION
4/16/2015,9:52,$0.00,13TH AVE METERS,WARNING/NO CHARGE
4/16/2015,13:50,$20.00,13TH AVE METERS,OVERTIME STREET MTR
4/16/2015,13:52,$20.00,13TH AVE METERS,OVERTIME STREET MTR
4/16/2015,13:54,$20.00,13TH AVE METERS,OVERTIME STREET MTR
4/16/2015,10:53,$20.00,15TH AVE,OVERTIME STREET MTR
4/16/2015,10:55,$20.00,15TH AVE,OVERTIME LOT METER
4/16/2015,10:57,$20.00,15TH AVE,OVERTIME LOT METER
4/16/2015,10:58,$20.00,15TH AVE,OVERTIME LOT METER
4/16/2015,16:50,$30.00,15TH AVE,NO PERMIT DISPLAYED
4/16/2015,16:52,$30.00,15TH AVE,NO PERMIT DISPLAYED
4/16/2015,16:54,$35.00,15TH AVE,RESTRICTED AREA
4/16/2015,16:56,$30.00,15TH AVE,NO PERMIT DISPLAYED
4/16/2015,11:15,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME STREET MTR
4/16/2015,14:10,$0.00,LOT 12A - ONYX-LAWRENCE,WARNING/NO CHARGE
4/16/2015,9:10,$30.00,LOT 16A - FAC/STAFF LOT,NO PERMIT DISPLAYED
4/16/2015,10:14,$30.00,LOT 17 - HEDCO,NO PERMIT DISPLAYED
4/16/2015,10:18,$20.00,LOT 17 - HEDCO,OVERTIME LOT METER
4/16/2015,10:42,$35.00,LOT 19 - HEDCO/CSB,RESTRICTED AREA
4/16/2015,10:44,$30.00,LOT 19 - HEDCO/CSB,NO PERMIT DISPLAYED
4/16/2015,12:17,$30.00,LOT 19 - HEDCO/CSB,NO PERMIT DISPLAYED
4/16/2015,12:19,$30.00,LOT 19 - HEDCO/CSB,NO PERMIT DISPLAYED
4/16/2015,10:28,$20.00,LOT 29A - EMU VIS LOT,OVERTIME LOT METER
4/16/2015,10:29,$20.00,LOT 29A - EMU VIS LOT,OVERTIME LOT METER
4/16/2015,10:30,$20.00,LOT 29A - EMU VIS LOT,OVERTIME LOT METER
4/16/2015,10:52,$35.00,LOT 39 - AGATE SOUTH,RESTRICTED AREA
4/16/2015,10:57,$0.00,LOT 39 - AGATE SOUTH,WARNING/NO CHARGE
4/16/2015,10:24,$0.00,LOT 40 - HEDCO UNDERGRND,WARNING/NO CHARGE
4/16/2015,10:31,$30.00,LOT 40 - HEDCO UNDERGRND,NO PERMIT DISPLAYED
4/16/2015,12:34,$95.00,LOT 42 - 12TH W OF KIN,RESERVED SPACE W/TOW
4/16/2015,16:37,$35.00,LOT 44 - GRAD VILLAGE,RESTRICTED AREA
4/16/2015,13:00,$35.00,LOT 56 - MILLRACE,RESTRICTED AREA
4/16/2015,11:17,$30.00,LOT 58 - 1715 FRANKLIN,NO PERMIT DISPLAYED
4/16/2015,14:05,$30.00,UNIVERSITY ST,NO PERMIT DISPLAYED
4/16/2015,7:44,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/16/2015,7:45,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/16/2015,7:46,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/16/2015,7:48,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/16/2015,10:34,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/16/2015,10:36,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/16/2015,10:43,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/16/2015,10:45,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/16/2015,10:49,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/16/2015,14:10,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/16/2015,14:11,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/16/2015,14:14,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/16/2015,14:15,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/16/2015,14:17,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/16/2015,14:25,$35.00,UNIVERSITY ST METERS,NO PARKING ZONE
4/16/2015,14:56,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/16/2015,14:59,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/16/2015,17:03,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/16/2015,17:04,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/16/2015,17:05,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/16/2015,17:06,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/16/2015,17:07,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/16/2015,17:08,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/16/2015,17:10,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/16/2015,17:10,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/16/2015,17:13,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/16/2015,17:14,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/17/2015,9:09,$20.00,13TH AVE METERS,OVERTIME STREET MTR
4/17/2015,9:10,$20.00,13TH AVE METERS,OVERTIME STREET MTR
4/17/2015,12:30,$20.00,15TH AVE,OVERTIME STREET MTR
4/17/2015,13:25,$30.00,15TH AVE,NO PERMIT DISPLAYED
4/17/2015,13:30,$30.00,15TH AVE,NO PERMIT DISPLAYED
4/17/2015,14:59,$30.00,15TH AVE,NO PERMIT DISPLAYED
4/17/2015,15:00,$30.00,15TH AVE,NO PERMIT DISPLAYED
4/17/2015,15:00,$30.00,15TH AVE,NO PERMIT DISPLAYED
4/17/2015,15:45,$30.00,15TH AVE,NO PERMIT DISPLAYED
4/17/2015,15:46,$30.00,15TH AVE,NO PERMIT DISPLAYED
4/17/2015,15:48,$35.00,15TH AVE,RESTRICTED AREA
4/17/2015,15:49,$30.00,15TH AVE,NO PERMIT DISPLAYED
4/17/2015,16:39,$30.00,15TH AVE,NO PERMIT DISPLAYED
4/17/2015,16:43,$30.00,15TH AVE,NO PERMIT DISPLAYED
4/17/2015,14:07,$0.00,15TH AVE METERS,WARNING/NO CHARGE
4/17/2015,15:27,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER
4/17/2015,15:28,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER
4/17/2015,16:14,$45.00,LOT 12A - ONYX-LAWRENCE,RESERVED SPACE
4/17/2015,7:17,$20.00,LOT 13 - 13TH BEECH-UNIV,OVERTIME STREET MTR
4/17/2015,7:08,$30.00,LOT 16A - FAC/STAFF LOT,NO PERMIT DISPLAYED
4/17/2015,7:09,$30.00,LOT 16A - FAC/STAFF LOT,NO PERMIT DISPLAYED
4/17/2015,13:04,$30.00,LOT 16A - FAC/STAFF LOT,NO PERMIT DISPLAYED
4/17/2015,13:32,$45.00,LOT 16A - FAC/STAFF LOT,RESERVED SPACE
4/17/2015,13:37,$30.00,LOT 16A - FAC/STAFF LOT,NO PERMIT DISPLAYED
4/17/2015,12:16,$35.00,LOT 17 - HEDCO,RESTRICTED AREA
4/17/2015,15:59,$20.00,LOT 25 - JSMA,30 MINUTE ONLY ZONE
4/17/2015,11:13,$20.00,LOT 29A - EMU VIS LOT,OVERTIME LOT METER
4/17/2015,11:19,$20.00,LOT 29A - EMU VIS LOT,OVERTIME LOT METER
4/17/2015,13:02,$45.00,LOT 29D - EMU/ONYX/STR,RESERVED SPACE
4/17/2015,16:34,$45.00,LOT 29D - EMU/ONYX/STR,RESERVED SPACE
4/17/2015,14:31,$35.00,LOT 30 - MCCT,IMPROPER PARKING
4/17/2015,14:32,$35.00,LOT 30 - MCCT,IMPROPER PARKING
4/17/2015,16:57,$30.00,LOT 30 - MCCT,NO PERMIT DISPLAYED
4/17/2015,16:58,$30.00,LOT 30 - MCCT,NO PERMIT DISPLAYED
4/17/2015,17:03,$100.00,LOT 30 - MCCT,MISUSE OF PERMIT
4/17/2015,12:57,$45.00,LOT 31 - BOWERMAN BLDG,RESERVED SPACE
4/17/2015,7:27,$35.00,LOT 34C - COLUMBIA ST,RESTRICTED AREA
4/17/2015,16:24,$30.00,LOT 34C - COLUMBIA ST,NO PERMIT DISPLAYED
4/17/2015,16:03,$30.00,LOT 34E - GLOBAL SCHOLARS,NO PERMIT DISPLAYED
4/17/2015,16:03,$0.00,LOT 34E - GLOBAL SCHOLARS,WARNING/NO CHARGE
4/17/2015,16:08,$30.00,LOT 34E - GLOBAL SCHOLARS,NO PERMIT DISPLAYED
4/17/2015,16:09,$30.00,LOT 34E - GLOBAL SCHOLARS,NO PERMIT DISPLAYED
4/17/2015,16:14,$0.00,LOT 34E - GLOBAL SCHOLARS,WARNING/NO CHARGE
4/17/2015,16:19,$30.00,LOT 34E - GLOBAL SCHOLARS,NO PERMIT DISPLAYED
4/17/2015,16:22,$30.00,LOT 34E - GLOBAL SCHOLARS,NO PERMIT DISPLAYED
4/17/2015,9:16,$45.00,LOT 36B - STU HEALTH,RESERVED SPACE
4/17/2015,10:03,$30.00,LOT 39 - AGATE SOUTH,NO PERMIT DISPLAYED
4/17/2015,13:01,$45.00,LOT 43 - S LAW SCH,RESERVED SPACE
4/17/2015,15:13,$30.00,LOT 43 - S LAW SCH,NO PERMIT DISPLAYED
4/17/2015,15:57,$30.00,LOT 43 - S LAW SCH,NO PERMIT DISPLAYED
4/17/2015,10:35,$35.00,LOT 4VFIRELANE,NO PARKING ZONE
4/17/2015,8:46,$30.00,LOT 56 - MILLRACE,NO PERMIT DISPLAYED
4/17/2015,11:17,$30.00,LOT 56 - MILLRACE,NO PERMIT DISPLAYED
4/17/2015,14:32,$30.00,LOT 56 - MILLRACE,NO PERMIT DISPLAYED
4/17/2015,15:05,$35.00,LOT 57 - MILLRACE VIS,RESTRICTED AREA
4/17/2015,14:10,$35.00,LOT 6B - 11TH,IMPROPER PARKING
4/17/2015,7:22,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/17/2015,7:23,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/17/2015,7:26,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/17/2015,7:31,$0.00,UNIVERSITY ST METERS,WARNING/NO CHARGE
4/17/2015,11:01,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/17/2015,11:02,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/17/2015,11:04,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/17/2015,11:05,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/17/2015,11:06,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/17/2015,13:42,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/17/2015,13:44,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/17/2015,13:46,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/17/2015,14:02,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/17/2015,15:24,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/17/2015,15:26,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/17/2015,15:28,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/17/2015,15:29,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/17/2015,15:31,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/17/2015,16:44,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/17/2015,16:46,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/17/2015,16:51,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/17/2015,16:52,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/17/2015,16:53,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/19/2015,17:52,$45.00,LOT 12A - ONYX-LAWRENCE,RESERVED SPACE
4/20/2015,9:57,$20.00,13TH AVE METERS,OVERTIME STREET MTR
4/20/2015,9:58,$20.00,13TH AVE METERS,OVERTIME STREET MTR
4/20/2015,7:49,$20.00,15TH AVE,OVERTIME STREET MTR
4/20/2015,7:51,$20.00,15TH AVE,OVERTIME STREET MTR
4/20/2015,7:52,$20.00,15TH AVE,OVERTIME STREET MTR
4/20/2015,7:53,$20.00,15TH AVE,OVERTIME STREET MTR
4/20/2015,11:48,$0.00,HAMILTON,WARNING/NO CHARGE
4/20/2015,11:51,$0.00,HAMILTON,WARNING/NO CHARGE
4/20/2015,11:54,$0.00,HAMILTON,WARNING/NO CHARGE
4/20/2015,12:02,$0.00,HAMILTON,WARNING/NO CHARGE
4/20/2015,12:05,$0.00,HAMILTON,WARNING/NO CHARGE
4/20/2015,12:08,$0.00,HAMILTON,WARNING/NO CHARGE
4/20/2015,16:21,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER
4/20/2015,16:22,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER
4/20/2015,8:09,$30.00,LOT 16A - FAC/STAFF LOT,NO PERMIT DISPLAYED
4/20/2015,8:12,$30.00,LOT 16A - FAC/STAFF LOT,NO PERMIT DISPLAYED
4/20/2015,16:07,$20.00,LOT 17 - HEDCO,OVERTIME LOT METER
4/20/2015,16:09,$20.00,LOT 17 - HEDCO,OVERTIME LOT METER
4/20/2015,13:21,$30.00,LOT 34E - GLOBAL SCHOLARS,NO PERMIT DISPLAYED
4/20/2015,13:24,$30.00,LOT 34E - GLOBAL SCHOLARS,NO PERMIT DISPLAYED
4/20/2015,10:41,$0.00,LOT 37 - HAMILTON E,WARNING/NO CHARGE
4/20/2015,10:44,$35.00,LOT 37 - HAMILTON E,RESTRICTED AREA
4/20/2015,8:19,$0.00,LOT 42 - 12TH W OF KIN,WARNING/NO CHARGE
4/20/2015,8:19,$0.00,LOT 42 - 12TH W OF KIN,WARNING/NO CHARGE
4/20/2015,7:34,$30.00,LOT 44 - GRAD VILLAGE,NO PERMIT DISPLAYED
4/20/2015,7:40,$0.00,LOT 55 - MOSS ST,WARNING/NO CHARGE
4/20/2015,17:19,$30.00,LOT 56 - MILLRACE,NO PERMIT DISPLAYED
4/20/2015,17:20,$30.00,LOT 56 - MILLRACE,NO PERMIT DISPLAYED
4/20/2015,17:25,$30.00,LOT 56 - MILLRACE,NO PERMIT DISPLAYED
4/20/2015,9:00,$35.00,LOT 6A - 11TH/KINCAID,RESTRICTED AREA
4/20/2015,9:01,$0.00,LOT 6A - 11TH/KINCAID,WARNING/NO CHARGE
4/20/2015,12:24,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/20/2015,12:26,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/20/2015,12:34,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/20/2015,12:37,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/20/2015,16:47,$35.00,UNIVERSITY ST METERS,OVERLINE/TAKE THE SPACE OF
4/20/2015,16:48,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/20/2015,16:50,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/20/2015,16:51,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/20/2015,16:53,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/20/2015,16:54,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/21/2015,9:24,$20.00,12A,OVERTIME LOT METER
4/21/2015,9:32,$30.00,12A,NO PERMIT DISPLAYED
4/21/2015,9:23,$35.00,12A YELLOW ZONE,YELLOW ZONE
4/21/2015,9:35,$35.00,12A YELLOW ZONE,YELLOW ZONE
4/21/2015,9:36,$0.00,12A YELLOW ZONE,WARNING/NO CHARGE
4/21/2015,10:02,$20.00,13TH AVE METERS,OVERTIME STREET MTR
4/21/2015,10:03,$20.00,13TH AVE METERS,OVERTIME STREET MTR
4/21/2015,13:35,$20.00,13TH AVE METERS,OVERTIME STREET MTR
4/21/2015,13:36,$20.00,13TH AVE METERS,OVERTIME STREET MTR
4/21/2015,7:21,$20.00,15TH AVE,OVERTIME STREET MTR
4/21/2015,14:27,$20.00,15TH AVE,OVERTIME STREET MTR
4/21/2015,14:28,$30.00,15TH AVE,NO PERMIT DISPLAYED
4/21/2015,9:49,$20.00,15TH AVE METERS,OVERTIME STREET MTR
4/21/2015,11:02,$0.00,BEAN,WARNING/NO CHARGE
4/21/2015,11:05,$0.00,BEAN,WARNING/NO CHARGE
4/21/2015,11:09,$0.00,BEAN,WARNING/NO CHARGE
4/21/2015,11:11,$0.00,BEAN,WARNING/NO CHARGE
4/21/2015,11:14,$0.00,BEAN,WARNING/NO CHARGE
4/21/2015,11:17,$0.00,BEAN,WARNING/NO CHARGE
4/21/2015,11:19,$0.00,BEAN,WARNING/NO CHARGE
4/21/2015,11:22,$0.00,BEAN,WARNING/NO CHARGE
4/21/2015,11:24,$0.00,BEAN,WARNING/NO CHARGE
4/21/2015,16:20,$30.00,GLOBAL SCHOLARS,NO PERMIT DISPLAYED
4/21/2015,13:37,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER
4/21/2015,8:36,$20.00,LOT 13 - 13TH BEECH-UNIV,OVERTIME STREET MTR
4/21/2015,8:37,$20.00,LOT 13 - 13TH BEECH-UNIV,OVERTIME STREET MTR
4/21/2015,8:39,$20.00,LOT 13 - 13TH BEECH-UNIV,OVERTIME STREET MTR
4/21/2015,9:08,$20.00,LOT 15 - JAQUA,OVERTIME LOT METER
4/21/2015,7:03,$30.00,LOT 16A - FAC/STAFF LOT,NO PERMIT DISPLAYED
4/21/2015,12:05,$30.00,LOT 16A - FAC/STAFF LOT,NO PERMIT DISPLAYED
4/21/2015,12:08,$35.00,LOT 16A - FAC/STAFF LOT,IMPROPER PARKING
4/21/2015,13:51,$30.00,LOT 16A - FAC/STAFF LOT,NO PERMIT DISPLAYED
4/21/2015,10:39,$20.00,LOT 17 - HEDCO,OVERTIME LOT METER
4/21/2015,13:54,$20.00,LOT 29A - EMU VIS LOT,OVERTIME LOT METER
4/21/2015,14:14,$30.00,LOT 30 - MCCT,NO PERMIT DISPLAYED
4/21/2015,17:26,$30.00,LOT 30 - MCCT,NO PERMIT DISPLAYED
4/21/2015,7:59,$35.00,LOT 34C - COLUMBIA ST,RESTRICTED AREA
4/21/2015,7:58,$30.00,LOT 34E - GLOBAL SCHOLARS,NO PERMIT DISPLAYED
4/21/2015,8:05,$0.00,LOT 34E - GLOBAL SCHOLARS,WARNING/NO CHARGE
4/21/2015,8:41,$20.00,LOT 36A - CARSON,OVERTIME LOT METER
4/21/2015,8:58,$95.00,LOT 36B - STU HEALTH,RESERVED SPACE W/TOW
4/21/2015,8:28,$35.00,LOT 37 - HAMILTON E,RESTRICTED AREA
4/21/2015,8:30,$30.00,LOT 37 - HAMILTON E,NO PERMIT DISPLAYED
4/21/2015,8:32,$35.00,LOT 37 - HAMILTON E,RESTRICTED AREA
4/21/2015,9:02,$20.00,LOT 37 - HAMILTON E,30 MINUTE ONLY ZONE
4/21/2015,14:41,$35.00,LOT 37 - HAMILTON E,RESTRICTED AREA
4/21/2015,14:46,$30.00,LOT 37 - HAMILTON E,NO PERMIT DISPLAYED
4/21/2015,17:01,$30.00,LOT 3B - MNH,NO PERMIT DISPLAYED
4/21/2015,17:02,$30.00,LOT 3B - MNH,NO PERMIT DISPLAYED
4/21/2015,7:10,$30.00,LOT 42 - 12TH W OF KIN,NO PERMIT DISPLAYED
4/21/2015,11:51,$30.00,LOT 42 - 12TH W OF KIN,NO PERMIT DISPLAYED
4/21/2015,11:56,$30.00,LOT 42 - 12TH W OF KIN,NO PERMIT DISPLAYED
4/21/2015,16:06,$30.00,LOT 43 - S LAW SCH,NO PERMIT DISPLAYED
4/21/2015,7:48,$30.00,LOT 44 - GRAD VILLAGE,NO PERMIT DISPLAYED
4/21/2015,8:17,$35.00,LOT 44 - GRAD VILLAGE,RESTRICTED AREA
4/21/2015,16:33,$30.00,LOT 56 - MILLRACE,NO PERMIT DISPLAYED
4/21/2015,16:34,$30.00,LOT 56 - MILLRACE,NO PERMIT DISPLAYED
4/21/2015,16:57,$30.00,LOT 56 - MILLRACE,NO PERMIT DISPLAYED
4/21/2015,16:58,$30.00,LOT 56 - MILLRACE,NO PERMIT DISPLAYED
4/21/2015,12:54,$20.00,LOT 58 - 1715 FRANKLIN,OVERTIME LOT METER
4/21/2015,10:46,$45.00,SPENCER VIEW APTS,RESERVED SPACE
4/21/2015,7:17,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/21/2015,7:18,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/21/2015,7:19,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/21/2015,9:54,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/21/2015,9:55,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/21/2015,10:04,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/21/2015,10:04,$50.00,UNIVERSITY ST METERS,BOOT FEE
4/21/2015,10:44,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/21/2015,10:46,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/21/2015,14:02,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/21/2015,14:18,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/22/2015,10:33,$0.00,13TH AND AGATE,WARNING/NO CHARGE
4/22/2015,9:57,$20.00,13TH AVE METERS,OVERTIME STREET MTR
4/22/2015,11:05,$20.00,13TH AVE METERS,OVERTIME STREET MTR
4/22/2015,16:01,$20.00,13TH AVE METERS,OVERTIME STREET MTR
4/22/2015,16:02,$20.00,13TH AVE METERS,OVERTIME STREET MTR
4/22/2015,16:20,$30.00,15TH AVE,NO PERMIT DISPLAYED
4/22/2015,16:21,$30.00,15TH AVE,NO PERMIT DISPLAYED
4/22/2015,16:24,$30.00,15TH AVE,NO PERMIT DISPLAYED
4/22/2015,16:26,$30.00,15TH AVE,NO PERMIT DISPLAYED
4/22/2015,10:13,$20.00,15TH AVE METERS,OVERTIME STREET MTR
4/22/2015,10:52,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER
4/22/2015,15:55,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER
4/22/2015,16:57,$95.00,LOT 12A - ONYX-LAWRENCE,RESERVED SPACE W/TOW
4/22/2015,10:58,$35.00,LOT 12B - ONYX-SCIENCES,SERVICE VEHICLE ONLY
4/22/2015,11:40,$20.00,LOT 15 - JAQUA,OVERTIME LOT METER
4/22/2015,11:40,$20.00,LOT 15 - JAQUA,OVERTIME LOT METER
4/22/2015,9:09,$95.00,LOT 16A - FAC/STAFF LOT,RESERVED SPACE W/TOW
4/22/2015,9:14,$0.00,LOT 16A - FAC/STAFF LOT,WARNING/NO CHARGE
4/22/2015,11:10,$0.00,LOT 16A - FAC/STAFF LOT,WARNING/NO CHARGE
4/22/2015,7:30,$35.00,LOT 16B - STUDENT ONLY,IMPROPER PARKING
4/22/2015,7:31,$35.00,LOT 16B - STUDENT ONLY,IMPROPER PARKING
4/22/2015,7:33,$35.00,LOT 16B - STUDENT ONLY,IMPROPER PARKING
4/22/2015,7:33,$35.00,LOT 16B - STUDENT ONLY,IMPROPER PARKING
4/22/2015,11:20,$20.00,LOT 17 - HEDCO,OVERTIME LOT METER
4/22/2015,13:38,$95.00,LOT 17 - HEDCO,RESERVED SPACE W/TOW
4/22/2015,13:44,$20.00,LOT 17 - HEDCO,OVERTIME LOT METER
4/22/2015,13:44,$20.00,LOT 17 - HEDCO,OVERTIME LOT METER
4/22/2015,13:45,$20.00,LOT 17 - HEDCO,OVERTIME LOT METER
4/22/2015,13:46,$20.00,LOT 17 - HEDCO,OVERTIME LOT METER
4/22/2015,17:13,$30.00,LOT 17 - HEDCO,NO PERMIT DISPLAYED
4/22/2015,17:11,$0.00,LOT 18 - EDUCATION,WARNING/NO CHARGE
4/22/2015,7:02,$95.00,LOT 29A - EMU VIS LOT,RESERVED SPACE W/TOW
4/22/2015,7:04,$20.00,LOT 29A - EMU VIS LOT,OVERTIME LOT METER
4/22/2015,7:06,$45.00,LOT 29A - EMU VIS LOT,RESERVED SPACE
4/22/2015,7:09,$50.00,LOT 29A - EMU VIS LOT,TOWING FEE
4/22/2015,7:11,$50.00,LOT 29A - EMU VIS LOT,TOWING FEE
4/22/2015,7:46,$95.00,LOT 29A - EMU VIS LOT,RESERVED SPACE W/TOW
4/22/2015,8:06,$95.00,LOT 29A - EMU VIS LOT,RESERVED SPACE W/TOW
4/22/2015,14:28,$95.00,LOT 30 - MCCT,RESERVED SPACE W/TOW
4/22/2015,11:45,$20.00,LOT 36A - CARSON,OVERTIME LOT METER
4/22/2015,11:36,$20.00,LOT 37 - HAMILTON E,30 MINUTE ONLY ZONE
4/22/2015,10:53,$20.00,LOT 3A - AAA AREA,30 MINUTE ONLY ZONE
4/22/2015,11:17,$30.00,LOT 40 - HEDCO UNDERGRND,NO PERMIT DISPLAYED
4/22/2015,8:07,$35.00,LOT 44 - GRAD VILLAGE,RESTRICTED AREA
4/22/2015,10:12,$30.00,LOT 56 - MILLRACE,NO PERMIT DISPLAYED
4/22/2015,10:13,$30.00,LOT 56 - MILLRACE,NO PERMIT DISPLAYED
4/22/2015,15:36,$30.00,LOT 56 - MILLRACE,NO PERMIT DISPLAYED
4/22/2015,16:32,$30.00,LOT 56 - MILLRACE,NO PERMIT DISPLAYED
4/22/2015,14:18,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/22/2015,14:18,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/22/2015,14:19,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/22/2015,14:21,$20.00,UNIVERSITY ST METERS,OVERTIME STREET MTR
4/23/2015,10:46,$30.00,ACADEMIC EXTENSION,NO PERMIT DISPLAYED
4/23/2015,14:07,$0.00,HEM NORTH,WARNING/NO CHARGE
4/23/2015,14:13,$0.00,HEM NORTH,WARNING/NO CHARGE
4/23/2015,12:59,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER
4/23/2015,17:12,$35.00,LOT 13 - 13TH BEECH-UNIV,SERVICE VEHICLE ONLY
4/23/2015,11:00,$35.00,LOT 16A - FAC/STAFF LOT,SERVICE VEHICLE ONLY
4/23/2015,16:50,$35.00,LOT 16A - FAC/STAFF LOT,RESTRICTED AREA
4/23/2015,16:53,$30.00,LOT 16A - FAC/STAFF LOT,NO PERMIT DISPLAYED
4/23/2015,16:54,$30.00,LOT 16A - FAC/STAFF LOT,NO PERMIT DISPLAYED
4/23/2015,16:57,$30.00,LOT 16A - FAC/STAFF LOT,NO PERMIT DISPLAYED
4/23/2015,17:02,$30.00,LOT 16A - FAC/STAFF LOT,NO PERMIT DISPLAYED
4/23/2015,8:53,$95.00,LOT 16B - STUDENT ONLY,RESERVED SPACE W/TOW
4/23/2015,11:22,$20.00,LOT 29A - EMU VIS LOT,OVERTIME LOT METER
4/23/2015,16:10,$30.00,LOT 30 - MCCT,NO PERMIT DISPLAYED
4/23/2015,14:29,$95.00,LOT 31 - BOWERMAN BLDG,RESERVED SPACE W/TOW
4/23/2015,11:21,$30.00,LOT 37 - HAMILTON E,NO PERMIT DISPLAYED
4/23/2015,17:27,$35.00,LOT 44 - GRAD VILLAGE,RESTRICTED AREA
